[1.131s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 1.7ms
[1.131s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.4ms
[1.131s][info][gc,phases    ] GC(11)   Other: 0.2ms
[1.131s][info][gc,heap      ] GC(11) Eden regions: 304->0(304)
[1.131s][info][gc,heap      ] GC(11) Survivor regions: 3->3(39)
[1.131s][info][gc,heap      ] GC(11) Old regions: 0->0
[1.131s][info][gc,heap      ] GC(11) Humongous regions: 0->0
[1.131s][info][gc,metaspace ] GC(11) Metaspace: 6493K->6493K(1056768K)
[1.131s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 306M->2M(512M) 2.386ms
[1.131s][info][gc,cpu       ] GC(11) User=0.00s Sys=0.00s Real=0.01s
[1.195s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[1.195s][info][gc,task      ] GC(12) Using 8 workers of 8 for evacuation
[1.197s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[1.197s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 1.5ms
[1.197s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 0.3ms
[1.197s][info][gc,phases    ] GC(12)   Other: 0.2ms
[1.197s][info][gc,heap      ] GC(12) Eden regions: 304->0(304)
[1.197s][info][gc,heap      ] GC(12) Survivor regions: 3->3(39)
[1.197s][info][gc,heap      ] GC(12) Old regions: 0->0
[1.197s][info][gc,heap      ] GC(12) Humongous regions: 0->0
